,timestamp,server,stratum,delta,poll-freq,id,mac-addr
255,1548781465.8457391,radio,1,6,16,b1,
256,1548781470.85714,radio,1,10,16,b1,
257,1548781475.8696449,radio,1,10,16,b1,
258,1548781480.881976,radio,1,10,16,b1,
259,1548781485.892135,radio,1,2,16,b1,
260,1548781490.9032779,radio,1,2,16,b1,
261,1548781495.9155369,radio,1,2,16,b1,
262,1548781500.926784,radio,1,8,16,b1,
263,1548781505.935506,radio,1,8,16,b1,
264,1548781510.946798,radio,1,8,16,b1,
265,1548781515.953872,radio,1,8,16,b1,
266,1548781520.9629312,radio,1,6,16,b1,
267,1548781525.974483,radio,1,6,16,b1,
268,1548781530.983562,radio,1,6,16,b1,
269,1548781535.9934,radio,1,3,16,b1,
270,1548781541.0048661,radio,1,4,16,b1,
271,1548781546.015582,radio,1,4,16,b1,
272,1548781551.026301,radio,1,17,16,b1,
273,1548781556.037993,radio,1,17,16,b1,
274,1548781561.048991,radio,1,17,16,b1,
275,1548781566.060363,radio,1,7,16,b1,
276,1548781571.070858,radio,1,7,16,b1,
277,1548781576.083766,radio,1,7,16,b1,
278,1548781581.09549,radio,1,11,16,b1,
279,1548781586.1072981,radio,1,12,16,b1,
280,1548781591.119366,radio,1,12,16,b1,
281,1548781596.1301448,radio,1,12,16,b1,
282,1548781601.141608,radio,1,27,16,b1,
283,1548781606.1532779,radio,1,27,16,b1,
284,1548781611.161222,radio,1,27,16,b1,
285,1548781616.170953,radio,1,13,16,b1,
286,1548781621.181316,radio,1,13,16,b1,
287,1548781626.193773,radio,1,13,16,b1,
288,1548781631.205577,radio,1,14,16,b1,
289,1548781636.21828,radio,1,14,16,b1,
290,1548781641.229348,radio,1,14,16,b1,
291,1548781646.240437,radio,1,9,16,b1,
292,1548781651.250795,radio,1,9,16,b1,
293,1548781656.262851,radio,1,9,16,b1,
294,1548781661.274981,radio,1,9,16,b1,
295,1548781666.286684,radio,1,9,16,b1,
296,1548781671.298287,radio,1,9,16,b1,
297,1548781676.3108768,radio,1,9,16,b1,
298,1548781681.323701,radio,1,3,16,b1,
299,1548781686.336592,radio,1,4,16,b1,
300,1548781691.349214,radio,1,4,16,b1,
301,1548781696.358467,radio,1,6,16,b1,
302,1548781701.366919,radio,1,6,16,b1,
303,1548781706.378645,radio,1,6,16,b1,
304,1548781711.386501,radio,1,10,16,b1,
305,1548781716.398928,radio,1,10,16,b1,
306,1548781721.4113839,radio,1,10,16,b1,
307,1548781726.422964,radio,1,8,16,b1,
308,1548781731.435439,radio,1,8,16,b1,
309,1548781736.446766,radio,1,8,16,b1,
310,1548781741.454293,radio,1,12,16,b1,
311,1548781746.462236,radio,1,12,16,b1,
312,1548781751.4700382,radio,1,12,16,b1,
313,1548781756.478313,radio,1,5,16,b1,
314,1548781761.489593,radio,1,5,16,b1,
315,1548781766.502023,radio,1,5,16,b1,
316,1548781771.510819,radio,1,5,16,b1,
317,1548781776.5223188,radio,1,13,16,b1,
318,1548781781.5340528,radio,1,13,16,b1,
319,1548781786.546661,radio,1,13,16,b1,
320,1548781791.55534,radio,1,13,16,b1,
321,1548781796.566936,radio,1,13,16,b1,
322,1548781268.93941,radio,1,7,16,b1,
323,1548782503.274885,10.10.13.130,2,16,8,w4,
324,1548782508.28779,10.10.13.130,2,16,8,w4,
325,1548782513.300543,10.10.13.130,2,16,8,w4,
326,1548782518.31395,10.10.13.130,2,11,8,w4,
327,1548782523.3270571,10.10.13.130,2,11,8,w4,
328,1548782528.339231,10.10.13.130,2,12,8,w4,
329,1548782533.351745,10.10.13.130,2,12,8,w4,
330,1548782538.3634179,10.10.13.130,2,12,8,w4,
331,1548782543.3767312,10.10.13.130,2,12,8,w4,
332,1548782548.3891768,10.10.13.130,2,12,8,w4,
333,1548782553.401724,10.10.13.130,2,12,8,w4,
334,1548782558.4105449,10.10.13.130,2,12,8,w4,
335,1548782563.422868,10.10.13.130,2,12,8,w4,
336,1548782568.435609,10.10.13.130,2,12,8,w4,
337,1548782573.448057,10.10.13.130,2,20,8,w4,
338,1548782578.461369,10.10.13.130,2,20,8,w4,
339,1548782583.477159,10.10.13.130,2,20,8,w4,
340,1548782588.489834,10.10.13.130,2,15,8,w4,
341,1548782593.5022712,10.10.13.130,2,15,8,w4,
342,1548782598.515067,10.10.13.130,2,15,8,w4,
343,1548782603.527324,10.10.13.130,2,15,8,w4,
344,1548782608.539677,10.10.13.130,2,15,8,w4,
345,1548782613.5527449,10.10.13.130,2,15,8,w4,
346,1548782618.5646212,10.10.13.130,2,15,8,w4,
347,1548782623.576988,10.10.13.130,2,16,8,w4,
348,1548782628.5897331,10.10.13.130,2,16,8,w4,
349,1548782633.6029801,10.10.13.130,2,16,8,w4,
350,1548782638.615796,10.10.13.130,2,16,8,w4,
351,1548782643.628992,10.10.13.130,2,16,8,w4,
352,1548782648.639526,10.10.13.130,2,16,8,w4,
353,1548782653.651884,10.10.13.130,2,16,8,w4,
354,1548782658.664884,10.10.13.130,2,16,8,w4,
355,1548782663.677473,10.10.13.130,2,16,8,w4,
356,1548782668.690247,10.10.13.130,2,16,8,w4,
357,1548782673.703592,10.10.13.130,2,16,8,w4,
358,1548782678.7157712,10.10.13.130,2,16,8,w4,
359,1548782683.72817,10.10.13.130,2,16,8,w4,
360,1548782688.741308,10.10.13.130,2,16,8,w4,
361,1548782693.753851,10.10.13.130,2,17,8,w4,
362,1548782698.76685,10.10.13.130,2,17,8,w4,
363,1548782703.779868,10.10.13.130,2,17,8,w4,
364,1548782708.792667,unspecified,2,17,8,w4,
365,1548782713.80235,unspecified,2,17,8,w4,
366,1548782718.815222,unspecified,2,17,8,w4,
367,1548782723.827852,unspecified,2,17,8,w4,
368,1548782728.8407722,unspecified,2,17,8,w4,
369,1548782733.84924,unspecified,2,17,8,w4,
370,1548782738.8619661,unspecified,2,17,8,w4,
371,1548782743.87428,unspecified,2,17,8,w4,
372,1548782748.8869061,unspecified,2,17,8,w4,
373,1548782753.8996198,unspecified,2,17,8,w4,
374,1548782758.912123,unspecified,2,18,8,w4,
375,1548782763.924994,unspecified,2,18,8,w4,
376,1548782768.938407,unspecified,2,18,8,w4,
377,1548782773.951216,unspecified,2,18,8,w4,
378,1548782778.963566,unspecified,2,18,8,w4,
379,1548782783.975859,unspecified,2,18,8,w4,
380,1548782788.987324,unspecified,2,18,8,w4,
381,1548782793.999601,unspecified,2,18,8,w4,
382,1548782799.012184,unspecified,2,18,8,w4,
383,1548782804.025501,unspecified,2,18,8,w4,
384,1548782809.0380778,unspecified,2,18,8,w4,
385,1548782814.050641,unspecified,2,18,8,w4,
386,1548782819.063176,unspecified,2,18,8,w4,
387,1548782824.0755699,unspecified,2,19,8,w4,
388,1548782829.0879538,unspecified,2,19,8,w4,
389,1548782834.100413,unspecified,2,19,8,w4,
390,1548782839.1127071,unspecified,2,19,8,w4,
391,1548782844.125139,unspecified,2,19,8,w4,
392,1548782849.1379151,unspecified,2,19,8,w4,
393,1548782854.147741,unspecified,2,19,8,w4,
394,1548782859.159452,unspecified,2,19,8,w4,
395,1548782864.171565,unspecified,2,19,8,w4,
396,1548782869.183466,unspecified,2,19,8,w4,
397,1548782874.195179,unspecified,2,19,8,w4,
398,1548782879.207759,unspecified,2,19,8,w4,
399,1548782884.220084,unspecified,2,19,8,w4,
400,1548782889.2329981,unspecified,2,20,8,w4,
401,1548782894.2456331,unspecified,2,20,8,w4,
402,1548782899.2582052,unspecified,2,20,8,w4,
403,1548782904.270601,unspecified,2,20,8,w4,
404,1548782909.280548,unspecified,2,20,8,w4,
405,1548782914.293062,unspecified,2,20,8,w4,
406,1548782919.305283,unspecified,2,20,8,w4,
407,1548782924.318044,unspecified,2,20,8,w4,
408,1548782929.330472,unspecified,2,20,8,w4,
409,1548782934.342832,unspecified,2,20,8,w4,
410,1548782939.3539472,unspecified,2,20,8,w4,
411,1548782944.36602,unspecified,2,20,8,w4,
412,1548782949.378283,unspecified,2,20,8,w4,
413,1548782954.390459,unspecified,2,20,8,w4,
414,1548782959.40327,unspecified,2,21,8,w4,
415,1548782964.410949,unspecified,2,21,8,w4,
416,1548782969.420149,unspecified,2,21,8,w4,
417,1548782974.43141,10.10.13.130,2,198,8,w4,
418,1548782979.444592,10.10.13.130,2,198,8,w4,
419,1548782984.45739,10.10.13.130,2,198,8,w4,
420,1548782989.469524,10.10.13.130,2,198,8,w4,
421,1548782994.482242,10.10.13.130,2,199,8,w4,
422,1548782380.633344,10.10.13.130,2,27,8,w4,
423,1548782385.645429,10.10.13.130,2,27,8,w4,
424,1548782390.658843,10.10.13.130,2,24,8,w4,
425,1548782395.671609,10.10.13.130,2,24,8,w4,
426,1548782400.684944,10.10.13.130,2,24,8,w4,
427,1548782405.697364,10.10.13.130,2,24,8,w4,
428,1548782410.7096019,10.10.13.130,2,24,8,w4,
429,1548782415.721876,10.10.13.130,2,24,8,w4,
430,1548782420.7339199,10.10.13.130,2,24,8,w4,
431,1548782425.746211,10.10.13.130,2,24,8,w4,
432,1548782430.7584321,10.10.13.130,2,24,8,w4,
433,1548782435.768417,10.10.13.130,2,24,8,w4,
434,1548782440.781224,10.10.13.130,2,24,8,w4,
435,1548782445.79297,10.10.13.130,2,24,8,w4,
436,1548782450.806419,10.10.13.130,2,16,8,w4,
437,1548782455.818898,10.10.13.130,2,16,8,w4,
438,1548782460.82953,10.10.13.130,2,16,8,w4,
439,1548782465.842215,10.10.13.130,2,16,8,w4,
440,1548782470.8555288,10.10.13.130,2,16,8,w4,
441,1548782475.869053,10.10.13.130,2,16,8,w4,
442,1548782480.880471,10.10.13.130,2,16,8,w4,
443,1548782485.893328,10.10.13.130,2,16,8,w4,
444,1548782490.906512,10.10.13.130,2,16,8,w4,
445,1548782495.918697,10.10.13.130,2,16,8,w4,
446,1548782500.927929,10.10.13.130,2,16,8,w4,
447,1548782294.781289,10.10.13.130,2,8,8,w4,
448,1548782299.7935529,10.10.13.130,2,40,8,w4,
449,1548782304.805722,10.10.13.130,2,40,8,w4,
450,1548782309.8180199,10.10.13.130,2,21,8,w4,
451,1548782314.830662,10.10.13.130,2,21,8,w4,
452,1548782319.8392289,10.10.13.130,2,21,8,w4,
453,1548782324.851379,10.10.13.130,2,21,8,w4,
454,1548782329.864047,10.10.13.130,2,21,8,w4,
455,1548782334.876558,10.10.13.130,2,22,8,w4,
456,1548782339.888726,10.10.13.130,2,22,8,w4,
457,1548782344.8975608,10.10.13.130,2,22,8,w4,
458,1548782349.909919,10.10.13.130,2,22,8,w4,
459,1548782354.922144,10.10.13.130,2,22,8,w4,
460,1548782359.9344368,10.10.13.130,2,22,8,w4,
461,1548782213.727525,10.10.13.130,2,19,8,w4,
462,1548782218.740349,10.10.13.130,2,19,8,w4,
463,1548782223.753634,10.10.13.130,2,19,8,w4,
464,1548782228.766187,10.10.13.130,2,19,8,w4,
465,1548782233.779358,10.10.13.130,2,19,8,w4,
466,1548782238.7919161,10.10.13.130,2,7,8,w4,
467,1548782243.799795,10.10.13.130,2,7,8,w4,
468,1548782248.811906,10.10.13.130,2,7,8,w4,
469,1548782253.824826,10.10.13.130,2,7,8,w4,
470,1548782258.836991,10.10.13.130,2,7,8,w4,
471,1548782263.849482,10.10.13.130,2,7,8,w4,
472,1548782268.862283,10.10.13.130,2,8,8,w4,
473,1548782273.874275,10.10.13.130,2,8,8,w4,
474,1548782278.886659,10.10.13.130,2,8,8,w4,
475,1548782283.898985,10.10.13.130,2,8,8,w4,
476,1548782288.911453,10.10.13.130,2,8,8,w4,
477,1548782095.85551,10.10.13.130,2,21,8,w4,
478,1548782100.867063,10.10.13.130,2,21,8,w4,
479,1548782105.877748,10.10.13.130,2,21,8,w4,
480,1548782110.890239,10.10.13.130,2,21,8,w4,
481,1548782115.8984609,10.10.13.130,2,22,8,w4,
