,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
54,m1,15600000.0,3710000.0,10.10.15.248,46612,1548782296.0,1548782294.0,1.993,1051.0,1526.0,udp,10.10.12.1,5204
55,m1,18400000.0,4380000.0,10.10.15.248,46612,1548782298.0,1548782296.0,1.442,988.0,1548.0,udp,10.10.12.1,5204
56,m1,18600000.0,4440000.0,10.10.15.248,46612,1548782300.0,1548782298.0,2.037,940.0,1508.0,udp,10.10.12.1,5204
57,m1,19300000.0,4610000.0,10.10.15.248,46612,1548782302.0,1548782300.0,1.583,971.0,1561.0,udp,10.10.12.1,5204
58,m1,20300000.0,4840000.0,10.10.15.248,46612,1548782304.0,1548782302.0,1.739,886.0,1505.0,udp,10.10.12.1,5204
59,m1,20400000.0,4870000.0,10.10.15.248,46612,1548782306.0,1548782304.0,1.921,885.0,1508.0,udp,10.10.12.1,5204
60,m1,19200000.0,4580000.0,10.10.15.248,46612,1548782308.0,1548782306.0,1.876,940.0,1526.0,udp,10.10.12.1,5204
61,m1,13800000.0,3290000.0,10.10.15.248,46612,1548782310.0,1548782308.0,2.455,1028.0,1449.0,udp,10.10.12.1,5204
62,m1,9240000.0,2200000.0,10.10.15.248,46612,1548782312.0,1548782310.0,2.06,1193.0,1475.0,udp,10.10.12.1,5204
63,m1,12100000.0,2880000.0,10.10.15.248,46612,1548782314.0,1548782312.0,1.609,1047.0,1416.0,udp,10.10.12.1,5204
64,m1,8029999.999999999,1910000.0,10.10.15.248,46612,1548782316.0,1548782314.0,5.777,1105.0,1350.0,udp,10.10.12.1,5204
65,m1,1640000.0,400000.0,10.10.15.248,46612,1548782318.0,1548782316.0,30.326,1070.0,1120.0,udp,10.10.12.1,5204
66,m1,262000.0,64000.0,10.10.15.248,46612,1548782320.0,1548782318.0,59.984,622.0,630.0,udp,10.10.12.1,5204
67,m1,65500.0,16000.0,10.10.15.248,46612,1548782322.0,1548782320.0,158.757,306.0,308.0,udp,10.10.12.1,5204
68,m1,1640000.0,400000.0,10.10.15.248,46612,1548782324.0,1548782322.0,31.592,3457.0,3507.0,udp,10.10.12.1,5204
69,m1,3930000.0,960000.0,10.10.15.248,46612,1548782326.0,1548782324.0,5.879,1686.0,1806.0,udp,10.10.12.1,5204
70,m1,3770000.0,920000.0,10.10.15.248,46612,1548782328.0,1548782326.0,17.287,886.0,1001.0,udp,10.10.12.1,5204
71,m1,918000.0,224000.0,10.10.15.248,46612,1548782330.0,1548782328.0,53.334,1577.0,1605.0,udp,10.10.12.1,5204
72,m1,1410000.0,344000.0,10.10.15.248,46612,1548782332.0,1548782330.0,10.364,1478.0,1521.0,udp,10.10.12.1,5204
73,m1,3280000.0,800000.0,10.10.15.248,46612,1548782334.0,1548782332.0,8.09,2543.0,2643.0,udp,10.10.12.1,5204
74,m1,11300000.0,2700000.0,10.10.15.248,46612,1548782336.0,1548782334.0,2.499,1153.0,1498.0,udp,10.10.12.1,5204
75,m1,12800000.0,3060000.0,10.10.15.248,46612,1548782338.0,1548782336.0,2.026,1069.0,1461.0,udp,10.10.12.1,5204
76,m1,14100000.0,3350000.0,10.10.15.248,46612,1548782340.0,1548782338.0,1.524,1049.0,1478.0,udp,10.10.12.1,5204
77,m1,11000000.0,2630000.0,10.10.15.248,46612,1548782342.0,1548782340.0,1.567,1111.0,1448.0,udp,10.10.12.1,5204
78,m1,13500000.0,3220000.0,10.10.15.248,46612,1548782344.0,1548782342.0,2.395,1060.0,1472.0,udp,10.10.12.1,5204
79,m1,15000000.0,3570000.0,10.10.15.248,46612,1548782346.0,1548782344.0,1.82,1012.0,1469.0,udp,10.10.12.1,5204
80,m1,15400000.0,3670000.0,10.10.15.248,46612,1548782348.0,1548782346.0,1.408,990.0,1460.0,udp,10.10.12.1,5204
81,m1,11200000.0,2670000.0,10.10.15.248,46612,1548782350.0,1548782348.0,2.826,1057.0,1399.0,udp,10.10.12.1,5204
82,m1,11900000.0,2850000.0,10.10.15.248,46612,1548782352.0,1548782350.0,2.019,1142.0,1507.0,udp,10.10.12.1,5204
83,m1,9450000.0,2250000.0,10.10.15.248,46612,1548782354.0,1548782352.0,9.502,958.0,1246.0,udp,10.10.12.1,5204
84,m1,10400000.0,2470000.0,10.10.15.248,46612,1548782356.0,1548782354.0,2.35,1280.0,1596.0,udp,10.10.12.1,5204
85,m1,6290000.0,1500000.0,10.10.15.248,46612,1548782358.0,1548782356.0,8.977,991.0,1183.0,udp,10.10.12.1,5204
86,m1,11600000.0,2770000.0,10.10.15.248,46612,1548782360.0,1548782358.0,3.863,1411.0,1766.0,udp,10.10.12.1,5204
87,m1,8189999.999999999,1950000.0,10.10.15.248,46612,1548782362.0,1548782360.0,4.12,1059.0,1309.0,udp,10.10.12.1,5204
88,m1,5700000.0,1360000.0,10.10.15.248,46612,1548782364.0,1548782362.0,11.968,1002.0,1176.0,udp,10.10.12.1,5204
89,m1,426000.0,104000.0,10.10.15.248,46612,1548782366.0,1548782364.0,34.983,351.0,364.0,udp,10.10.12.1,5204
90,m1,0.0,0.0,10.10.15.248,46612,1548782368.0,1548782366.0,34.983,0.0,0.0,udp,10.10.12.1,5204
91,m1,590000.0,144000.0,10.10.15.248,46612,1548782370.0,1548782368.0,48.817,4165.0,4183.0,udp,10.10.12.1,5204
