senderId,receiverId,systime,receiverDist,receiverX,receiverY,receiverAlt,receiverSpeed,channelFreq,channelBw,channelUtil,isInLap,isIperfOn,rssiMean,dataRateMean,nBytesReceived
ap1,w2,1548779064,22.725756305265865,22.00198448202738,-5.691782293320395,123.8,0.0,2437,20,87.73764258555131,0.0,1.0,-49.141414000000005,61.601907,2210426
ap1,w2,1548779065,22.7267773944979,22.00269586338964,-5.691070909177173,123.8,0.0,2437,20,88.063756792059,0.0,1.0,-49.590909,65.846387,2398633
ap1,w2,1548779066,22.729451253840793,22.005457708138533,-5.691070909177173,123.8,0.0,2437,20,88.38987099856666,0.0,1.0,-50.453782000000004,70.252403,2843956
ap1,w2,1548779067,22.729451253840793,22.006880473791675,-5.690359525034134,123.8,0.0,2437,20,86.98751399595317,0.0,1.0,-49.831933,68.982566,2668215
ap1,w2,1548779068,22.73185000621289,22.008303239444817,-5.689648140891094,123.8,0.0,2437,20,85.58515699333967,0.0,1.0,-49.169230999999996,62.975009,2663692
ap1,w2,1548779069,22.73281135145563,22.00964231008455,-5.688309063982965,123.8,0.0,2437,20,87.23967096568794,0.0,1.0,-50.682119,72.044379,3348085
ap1,w2,1548779070,22.733832909617345,22.011065072954462,-5.686886295697605,123.8,0.0,2437,20,88.89418493803622,0.0,1.0,-49.371134000000005,62.553661,2084827
ap1,w2,1548779071,22.73485459980851,22.012487835674982,-5.6854635274126135,123.8,0.0,2437,20,88.91527860387092,0.0,1.0,-49.977273,66.757163,1931771
ap1,w2,1548779072,22.737193900292887,22.015249675043133,-5.684124451100176,123.8,0.0,2437,20,88.9363722697056,0.0,1.0,-49.469388,67.784239,3196844
ap1,w2,1548779073,22.73786033691125,22.016672432047443,-5.6812789145319975,123.8,0.0,2437,20,87.47200657420332,0.0,1.0,-50.641791,70.056439,3317613
ap1,w2,1548779074,22.73882241390905,22.018011502831744,-5.679939837625911,123.8,0.0,2437,20,86.00764087870104,0.0,1.0,-50.056338000000004,66.693136,3134436
ap1,w2,1548779075,22.73984474916153,22.019434265548657,-5.678517069342724,123.8,0.0,2437,20,85.75137971410643,0.0,1.0,-50.263158000000004,70.434558,3371363
ap1,w2,1548779076,22.742163896729533,22.022196104575386,-5.677094301059903,123.8,0.0,2437,20,85.49511854951184,0.0,1.0,-50.308219,69.873704,3183621
ap1,w2,1548779077,22.743207407609557,22.02361886762671,-5.675755224749513,123.8,0.0,2437,20,85.09011652666432,0.0,1.0,-50.471264,68.026771,1865598
ap1,w2,1548779078,22.744230158297004,22.025041630341075,-5.67433245646741,123.8,0.0,2437,20,84.68511450381679,0.0,1.0,-50.5,69.245649,2304390
ap1,w2,1548779079,22.743875238654265,22.025041624624496,-5.672909688185679,123.8,0.0,2437,20,85.63401691833539,0.0,1.0,-50.837398,70.91205699999999,2783122
ap1,w2,1548779080,22.7448380468313,22.026380695404722,-5.671570611876307,123.8,0.0,2437,20,85.15956571107608,0.0,1.0,-50.762295,70.875125,2677029
ap1,w2,1548779081,22.75198003802806,22.033410850964426,-5.672909688185679,123.8,0.0,2437,20,86.10846812559467,0.0,1.0,-50.891892,71.895871,2721685
ap1,w2,1548779082,22.75164619115337,22.033410845582072,-5.671570611876307,123.8,0.0,2437,20,86.02037617057034,0.0,1.0,-50.424528,69.658326,2698399
ap1,w2,1548779083,22.75164619115337,22.036884077153772,-5.6722401500309925,123.8,0.0,2437,20,85.93228421554602,0.0,1.0,-49.188679,64.361597,3317709
ap1,w2,1548779084,22.75870716677205,22.04035730872547,-5.672909688185679,123.8,0.0,2437,20,86.65085245915003,0.0,1.0,-50.84,70.86319300000001,3055925
ap1,w2,1548779085,22.75870716677205,22.045253314452534,-5.675001994622791,123.8,0.0,2437,20,87.36942070275404,0.0,1.0,-50.49635,70.33211800000001,3179631
ap1,w2,1548779086,22.769233215101213,22.0501493201796,-5.677094301059903,123.8,0.0,2437,20,88.64891082870398,0.0,1.0,-50.275591,70.05974300000001,3039237
ap1,w2,1548779087,22.77529198320436,22.055673020963717,-5.679939837625911,123.8,0.0,2437,20,89.92840095465392,0.0,1.0,-50.694805,72.08591,3784987
ap1,w2,1548779088,22.782788799991888,22.062703182119,-5.682701682815902,123.8,0.0,2437,20,87.30482845068566,0.0,1.0,-50.881818,69.86024599999999,3043966
ap1,w2,1548779089,22.787196033466266,22.06688780102389,-5.684124451100176,123.8,0.0,2437,20,84.6812559467174,0.0,1.0,-48.963636,63.225519999999996,2499820
ap1,w2,1548779090,22.79323407947916,22.072411501486798,-5.686886295697605,123.8,0.0,2437,20,84.75701987161588,0.0,1.0,-49.05618,58.689289,1836531
ap1,w2,1548779091,22.79667879251488,22.075257049625353,-5.689648140891094,123.8,0.0,2437,20,84.83278379651436,0.0,1.0,-50.183333000000005,67.192854,2663296
ap1,w2,1548779092,22.79667879251488,22.0759265876335,-5.689648140891094,123.8,0.0,2437,20,85.00898449084977,0.0,1.0,-49.413793,66.309314,1991582
ap1,w2,1548779093,22.79797549335013,22.076596125641647,-5.689648140891094,123.8,0.0,2437,20,85.18518518518519,0.0,1.0,-50.09322,66.130702,2500784
ap1,w2,1548779094,22.794966857080286,22.073834275649887,-5.688309063982965,123.8,0.0,2437,20,84.83232516183806,0.0,1.0,-49.798246,64.829072,2184354
ap1,w2,1548779095,22.794966857080286,22.073834275649887,-5.688309063982965,123.8,0.0,2437,20,84.47946513849092,0.0,1.0,-50.444444,67.69971600000001,2350225
ap1,w2,1548779096,22.794966857080286,22.073834275649887,-5.688309063982965,123.8,0.0,2437,20,84.45772400189658,0.0,1.0,-50.052083,65.42529300000001,2000415
ap1,w2,1548779097,22.797286376296764,22.07659611451876,-5.686886295697605,123.8,0.0,2437,20,84.43598286530224,0.0,1.0,-50.514851,67.54657900000001,2266888
ap1,w2,1548779098,22.797286376296764,22.07659611451876,-5.686886295697605,123.8,0.0,2437,20,85.59686877206929,0.0,1.0,-50.147826,66.790104,2341775
ap1,w2,1548779099,22.798309312568232,22.078018877370933,-5.6854635274126135,123.8,0.0,2437,20,85.01642581868576,0.0,1.0,-50.126126,66.13599,2485094
ap1,w2,1548779100,22.796242857684213,22.07659609766592,-5.682701682815902,123.8,0.0,2437,20,86.17731172545281,0.0,1.0,-50.829268,68.64472099999999,2747350
ap1,w2,1548779101,22.794257691312147,22.07525701052912,-5.679939837625911,123.8,0.0,2437,20,87.39304428476188,0.0,1.0,-50.697531,69.820172,3345741
ap1,w2,1548779102,22.791837360410184,22.07383422509768,-5.675755224749513,123.8,0.0,2437,20,88.60877684407095,0.0,1.0,-50.404412,69.446634,3078440
ap1,w2,1548779103,22.79112890950109,22.073834213639177,-5.672909688185679,123.8,0.0,2437,20,87.76500894709514,0.0,1.0,-50.556521999999994,67.997564,2986410
ap1,w2,1548779104,22.79112890950109,22.073834208078434,-5.671528765890486,123.8,0.0,2437,20,86.92124105011932,0.0,1.0,-49.572464000000004,65.219698,3021539
ap1,w2,1548779105,22.790441614017052,22.07383420251769,-5.6701478435952914,123.8,0.0,2437,20,86.05321311765226,0.0,1.0,-49.936364000000005,68.49121,2421700
ap1,w2,1548779106,22.79380780908516,22.078018804561953,-5.667385998411625,123.8,0.0,2437,20,85.18518518518519,0.0,1.0,-47.244603999999995,65.544851,3017809
ap1,w2,1548779107,22.79207598825457,22.076596030254546,-5.665963230726365,123.8,0.0,2437,20,84.9002849002849,0.0,1.0,-43.853659,62.403484999999996,2604732
