gpstime,lat,lon,speed,alt,ap1Dist,ap1DeltaX,ap1DeltaY,ap2Dist,ap2DeltaX,ap2DeltaY,ap3Dist,ap3DeltaX,ap3DeltaY,ap4Dist,ap4DeltaX,ap4DeltaY
1548782478,41.178443167,-8.594350599999999,4.63,114.3,85.21155458093834,84.98113240937877,-6.262940170066494,85.21155458093834,84.98113240937877,-6.262940170066494,139.40743096203335,139.04633975130713,-10.029086787736336,139.40743096203335,139.04633975130713,-10.029086787736336
1548782479,41.17844615,-8.5942924,4.63,115.1,90.05296211021528,89.85201851417747,-6.013286129936612,90.05296211021528,89.85201851417747,-6.013286129936612,144.24897761595153,143.91722339365722,-9.77943274760684,144.24897761595153,143.91722339365722,-9.77943274760684
1548782480,41.17845555,-8.5942385,4.373,115.9,94.50760731176854,94.3630181962282,-5.2265788705062075,94.50760731176854,94.3630181962282,-5.2265788705062075,148.70026251428197,148.42821531637404,-8.99272548817758,148.70026251428197,148.42821531637404,-8.99272548817758
1548782482,41.1785146,-8.594185099999999,3.9610000000000003,117.1,98.83250261446831,98.83209554311915,-0.2845534048950468,98.83250261446831,98.83209554311915,-0.2845534048950468,152.95083554592208,152.89724392047628,-4.05070002257086,152.95083554592208,152.89724392047628,-4.05070002257086
1548782482,41.1785146,-8.594185099999999,3.9610000000000003,117.1,98.83250261446831,98.83209554311915,-0.2845534048950468,98.83250261446831,98.83209554311915,-0.2845534048950468,152.95083554592208,152.89724392047628,-4.05070002257086,152.95083554592208,152.89724392047628,-4.05070002257086
1548782483,41.178553683000004,-8.594180182999999,4.013,117.9,99.28850005873687,99.24355077370974,2.986387096527845,99.28850005873687,99.24355077370974,2.986387096527845,153.310638982329,153.30866689007524,-0.7797595211483063,153.310638982329,153.30866689007524,-0.7797595211483063
1548782484,41.178580517,-8.594188699999998,3.241,117.9,98.6695734410398,98.530704533409,5.232181258341926,98.6695734410398,98.530704533409,5.232181258341926,152.6028610639166,152.59579849971513,1.4660346406667437,152.6028610639166,152.59579849971513,1.4660346406667437
1548782487,41.178529467,-8.594216733,2.469,118.5,96.18943504906741,96.18463897591576,0.9596980960154005,96.18943504906741,96.18463897591576,0.9596980960154005,150.2759445406866,150.24977508142666,-2.806448521660785,150.2759445406866,150.24977508142666,-2.806448521660785
1548782487,41.178529467,-8.594216733,2.469,118.5,96.18943504906741,96.18463897591576,0.9596980960154005,96.18943504906741,96.18463897591576,0.9596980960154005,150.2759445406866,150.24977508142666,-2.806448521660785,150.2759445406866,150.24977508142666,-2.806448521660785
1548782488,41.178501417,-8.59422075,2.727,118.2,95.8585239797093,95.84848861236196,-1.3878675269049554,95.8585239797093,95.84848861236196,-1.3878675269049554,150.00214848205036,149.913647871687,-5.154014144580187,150.00214848205036,149.913647871687,-5.154014144580187
1548782489,41.178464933,-8.59423605,3.858,117.3,94.67224545487885,94.56805067503247,-4.4412944925367395,94.67224545487885,94.56805067503247,-4.4412944925367395,148.85956153474174,148.6332400500062,-8.207441110209135,148.85956153474174,148.6332400500062,-8.207441110209135
1548782490,41.1784385,-8.5942731,3.9610000000000003,117.4,91.70891159832611,91.4672899622924,-6.653532014652293,91.70891159832611,91.4672899622924,-6.653532014652293,145.9048948351221,145.5325011563882,-10.419678632321506,145.9048948351221,145.5325011563882,-10.419678632321506
