,timestamp,freq,noise,cat,cbt,crt,ctt,ch-util,id,mac-addr
127,1548782445,5240,-102,48085,41386,0,1435,95.55,ap4,78:8a:20:58:25:74
128,1548782447,5240,-102,25682,22261,0,1331,85.36803106726778,ap4,78:8a:20:58:25:74
129,1548782449,5240,-102,27682,23969,0,1116,85.39999999999999,ap4,78:8a:20:58:25:74
130,1548782451,5240,-102,29683,25255,0,616,64.26786606696652,ap4,78:8a:20:58:25:74
131,1548782453,5240,-102,31683,26553,0,632,64.9,ap4,78:8a:20:58:25:74
132,1548782455,5240,-102,34683,28744,0,1477,73.03333333333333,ap4,78:8a:20:58:25:74
133,1548782457,5240,-102,36683,30576,0,1767,91.60000000000001,ap4,78:8a:20:58:25:74
134,1548782459,5240,-102,38683,32486,0,1733,95.5,ap4,78:8a:20:58:25:74
135,1548782462,5240,-102,40683,34395,0,1631,95.45,ap4,78:8a:20:58:25:74
136,1548782464,5240,-102,42683,36302,0,1516,95.35,ap4,78:8a:20:58:25:74
137,1548782466,5240,-102,44683,38138,0,1342,91.8,ap4,78:8a:20:58:25:74
138,1548782468,5240,-102,46683,40050,0,1303,95.6,ap4,78:8a:20:58:25:74
139,1548782470,5240,-102,47683,41005,0,259,95.5,ap4,78:8a:20:58:25:74
140,1548782472,5240,-102,2163,2002,0,1101,85.68321616871705,ap4,78:8a:20:58:25:74
141,1548782474,5240,-102,5163,4864,0,1946,95.39999999999999,ap4,78:8a:20:58:25:74
142,1548782476,5240,-102,7164,6776,0,1853,95.55222388805598,ap4,78:8a:20:58:25:74
143,1548782478,5240,-102,9164,8687,0,1747,95.55,ap4,78:8a:20:58:25:74
144,1548782481,5240,-102,11164,10596,0,1642,95.45,ap4,78:8a:20:58:25:74
145,1548782483,5240,-102,13164,12469,0,1508,93.65,ap4,78:8a:20:58:25:74
146,1548782485,5240,-101,15164,13963,0,1085,74.7,ap4,78:8a:20:58:25:74
147,1548782487,5240,-102,17164,15399,0,1046,71.8,ap4,78:8a:20:58:25:74
148,1548782489,5240,-102,19164,17278,0,1213,93.95,ap4,78:8a:20:58:25:74
149,1548782491,5240,-102,21164,19179,0,1121,95.05,ap4,78:8a:20:58:25:74
150,1548782493,5240,-102,24164,22009,0,1907,94.33333333333334,ap4,78:8a:20:58:25:74
151,1548782495,5240,-102,26164,23858,0,1777,92.45,ap4,78:8a:20:58:25:74
