systime,senderId,receiverId,channelFreq,channelBw,rssiMean,dataRateMean,nBytesReceived
1548779056,ap4,w1,5230,40,-71.884298,6.500000,188155
1548779056,ap1,w2,2437,20,-50.376147,66.555142,2774065
1548779057,ap3,w3,2462,20,-71.666667,26.412700,8851
1548779057,ap2,m1,5190,40,-56.882024,150.008059,6436865
1548779057,ap4,w1,5230,40,-71.650350,6.500000,221005
1548779057,ap1,w2,2437,20,-49.858974,63.394519,1830055
1548779058,ap3,w3,2462,20,-71.866667,33.529405,320087
1548779058,ap2,m1,5190,40,-56.993671,146.482934,6377480
1548779058,ap4,w1,5230,40,-71.684932,6.500000,226350
1548779058,ap1,w2,2437,20,-49.354545,62.322690,2386608
1548779059,ap3,w3,2462,20,-71.967742,32.640809,233143
1548779059,ap2,m1,5190,40,-56.928621,149.274775,6236555
1548779059,ap4,w1,5230,40,-71.808219,6.500000,223630
1548779059,ap1,w2,2437,20,-49.919355,69.190660,2752590
1548779060,ap3,w3,2462,20,-72.050000,28.232318,141053
1548779060,ap2,m1,5190,40,-56.962898,144.324369,6564185
1548779060,ap4,w1,5230,40,-71.702970,6.500000,156375
1548779060,ap1,w2,2437,20,-48.920290,65.116617,2825173
1548779061,ap3,w3,2462,20,-71.733333,34.501260,187217
1548779061,ap2,m1,5190,40,-56.889805,144.037457,6291175
1548779061,ap4,w1,5230,40,-71.490196,6.500000,79305
1548779061,ap1,w2,2437,20,-49.924242,63.098528,2687572
1548779062,ap3,w3,2462,20,-72.083333,28.071623,108452
1548779062,ap2,m1,5190,40,-56.988586,149.746681,6187375
1548779062,ap4,w1,5230,40,-68.372315,52.496420,1809687
1548779062,ap1,w2,2437,20,-50.210145,70.423004,2916145
1548779063,ap3,w3,2462,20,-72.074074,34.386376,97099
1548779063,ap2,m1,5190,40,-57.000684,148.601254,6318875
1548779063,ap4,w1,5230,40,-69.284650,23.519374,956365
1548779063,ap1,w2,2437,20,-50.120000,64.662906,2348362
1548779064,ap3,w3,2462,20,-72.400000,23.183332,41770
1548779064,ap2,m1,5190,40,-56.927760,149.807815,6343950
1548779064,ap4,w1,5230,40,-71.314286,6.500000,200020
1548779064,ap1,w2,2437,20,-49.141414,61.601907,2210426
1548779065,ap3,w3,2462,20,-72.380952,26.928571,32437
1548779065,ap2,m1,5190,40,-57.125604,145.392292,6564670
1548779065,ap4,w1,5230,40,-71.614815,6.500000,192245
1548779065,ap1,w2,2437,20,-49.590909,65.846387,2398633
1548779066,ap3,w3,2462,20,-72.000000,32.148649,52819
1548779066,ap2,m1,5190,40,-56.941382,148.311680,6589260
1548779066,ap4,w1,5230,40,-70.976378,6.602362,181845
1548779066,ap1,w2,2437,20,-50.453782,70.252403,2843956
1548779067,ap3,w3,2462,20,-72.047619,28.543478,34891
1548779067,ap2,m1,5190,40,-57.180277,146.832664,6456790
1548779067,ap4,w1,5230,40,-71.614458,6.500000,121585
1548779067,ap1,w2,2437,20,-49.831933,68.982566,2668215
1548779068,ap3,w3,2462,20,-72.551724,19.924836,50168
1548779068,ap2,m1,5190,40,-57.032504,145.488568,6430935
1548779068,ap4,w1,5230,40,-68.604993,25.527900,998435
1548779068,ap1,w2,2437,20,-49.169231,62.975009,2663692
1548779069,ap3,w3,2462,20,-72.000000,24.470588,26069
1548779069,ap2,m1,5190,40,-57.191642,144.673332,6412665
1548779069,ap4,w1,5230,40,-69.304094,21.894737,516850
1548779069,ap1,w2,2437,20,-50.682119,72.044379,3348085
1548779070,ap3,w3,2462,20,-71.826087,29.179794,204798
1548779070,ap2,m1,5190,40,-57.183812,148.000791,6372525
1548779070,ap4,w1,5230,40,-72.736842,6.500000,116820
1548779070,ap1,w2,2437,20,-49.371134,62.553661,2084827
1548779071,ap3,w3,2462,20,-71.833333,27.504279,239175
1548779071,ap2,m1,5190,40,-57.394872,136.363545,6461455
1548779071,ap4,w1,5230,40,-71.802469,6.580247,125955
1548779071,ap1,w2,2437,20,-49.977273,66.757163,1931771
1548779072,ap3,w3,2462,20,-71.736842,25.643143,126095
1548779072,ap2,m1,5190,40,-57.416226,137.843585,6538720
1548779072,ap4,w1,5230,40,-72.186667,6.586667,115945
1548779072,ap1,w2,2437,20,-49.469388,67.784239,3196844
1548779073,ap3,w3,2462,20,-72.000000,27.011111,161150
1548779073,ap2,m1,5190,40,-57.399099,143.247635,6399640
1548779073,ap4,w1,5230,40,-72.564103,6.500000,120610
1548779073,ap1,w2,2437,20,-50.641791,70.056439,3317613
1548779074,ap3,w3,2462,20,-71.592593,31.111111,169599
1548779074,ap2,m1,5190,40,-57.372738,149.874914,6290495
1548779074,ap4,w1,5230,40,-73.500000,6.500000,117500
1548779074,ap1,w2,2437,20,-50.056338,66.693136,3134436
1548779075,ap3,w3,2462,20,-71.833333,41.843399,187309
1548779075,ap2,m1,5190,40,-57.176682,148.979596,6427340
1548779075,ap4,w1,5230,40,-72.938776,6.500000,151030
1548779075,ap1,w2,2437,20,-50.263158,70.434558,3371363
1548779076,ap3,w3,2462,20,-71.735294,44.448074,130904
1548779076,ap2,m1,5190,40,-57.268739,150.010969,6306240
1548779076,ap4,w1,5230,40,-73.137255,6.627451,156570
1548779076,ap1,w2,2437,20,-50.308219,69.873704,3183621
1548779077,ap3,w3,2462,20,-72.000000,41.615615,51359
1548779077,ap2,m1,5190,40,-57.057903,149.670355,6446195
1548779077,ap4,w1,5230,40,-72.966292,6.500000,134315
1548779077,ap1,w2,2437,20,-50.471264,68.026771,1865598
1548779078,ap3,w3,2462,20,-71.766667,36.374421,139852
1548779078,ap2,m1,5190,40,-57.271321,150.005458,6336175
1548779078,ap4,w1,5230,40,-72.910891,6.500000,148895
1548779078,ap1,w2,2437,20,-50.500000,69.245649,2304390
1548779079,ap3,w3,2462,20,-72.026316,42.250000,124262
1548779079,ap2,m1,5190,40,-57.256924,150.013510,6398475
1548779079,ap4,w1,5230,40,-72.989474,6.500000,142965
1548779079,ap1,w2,2437,20,-50.837398,70.912057,2783122
1548779080,ap3,w3,2462,20,-72.230769,30.152777,41966
1548779080,ap2,m1,5190,40,-57.320162,150.008083,6418010
1548779080,ap4,w1,5230,40,-71.465517,6.500000,174260
1548779080,ap1,w2,2437,20,-50.762295,70.875125,2677029
1548779081,ap3,w3,2462,20,-100.000000,0.000000,0
1548779081,ap2,m1,5190,40,-57.507961,150.008074,6428505
1548779081,ap4,w1,5230,40,-72.823529,6.576471,129455
1548779081,ap1,w2,2437,20,-50.891892,71.895871,2721685
1548779082,ap3,w3,2462,20,-100.000000,0.000000,0
1548779082,ap2,m1,5190,40,-57.455234,143.471158,6468550
1548779082,ap4,w1,5230,40,-72.492308,6.500000,97675
1548779082,ap1,w2,2437,20,-50.424528,69.658326,2698399
1548779083,ap3,w3,2462,20,-100.000000,0.000000,0
1548779083,ap2,m1,5190,40,-57.428900,146.770503,6275235
1548779083,ap4,w1,5230,40,-69.297297,11.205405,278155
1548779083,ap1,w2,2437,20,-49.188679,64.361597,3317709
1548779084,ap3,w3,2462,20,-100.000000,0.000000,0
1548779084,ap2,m1,5190,40,-57.767169,134.412563,8613550
1548779084,ap4,w1,5230,40,-66.851613,19.305806,1201725
1548779084,ap1,w2,2437,20,-50.840000,70.863193,3055925
1548779085,ap3,w3,2462,20,-100.000000,0.000000,0
1548779085,ap2,m1,5190,40,-57.273478,143.782663,6983855
1548779085,ap4,w1,5230,40,-68.398467,24.240421,809670
1548779085,ap1,w2,2437,20,-50.496350,70.332118,3179631
1548779086,ap3,w3,2462,20,-100.000000,0.000000,0
1548779086,ap2,m1,5190,40,-57.228246,150.008200,6326650
1548779086,ap4,w1,5230,40,-100.000000,0.000000,0
1548779086,ap1,w2,2437,20,-50.275591,70.059743,3039237
1548779087,ap3,w3,2462,20,-100.000000,0.000000,0
1548779087,ap2,m1,5190,40,-57.236172,150.008263,6279415
1548779087,ap4,w1,5230,40,-100.000000,0.000000,0
1548779087,ap1,w2,2437,20,-50.694805,72.085910,3784987
1548779088,ap3,w3,2462,20,-100.000000,0.000000,0
1548779088,ap2,m1,5190,40,-57.273229,150.002760,6266100
1548779088,ap4,w1,5230,40,-100.000000,0.000000,0
