,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
83,m1,0.0,0.0,10.10.15.248,55057,1548779717.0,1548779715.0,115.099,0.0,0.0,udp,10.10.12.1,5204
84,m1,0.0,0.0,10.10.15.248,55057,1548779719.0,1548779717.0,115.099,0.0,0.0,udp,10.10.12.1,5204
85,m1,0.0,0.0,10.10.15.248,55057,1548779721.0,1548779719.0,115.099,0.0,0.0,udp,10.10.12.1,5204
86,m1,0.0,0.0,10.10.15.248,55057,1548779723.0,1548779721.0,115.099,0.0,0.0,udp,10.10.12.1,5204
87,m1,0.0,0.0,10.10.15.248,55057,1548779723.0,1548779721.0,115.099,0.0,0.0,udp,10.10.12.1,5204
88,m1,23300000.0,5560000.0,10.10.15.248,47988,1548779727.0,1548779725.0,2.529,485.0,1197.0,udp,10.10.12.1,5204
89,m1,52500000.0,12500000.0,10.10.15.248,47988,1548779729.0,1548779727.0,0.704,128.0,1731.0,udp,10.10.12.1,5204
90,m1,47900000.0,11400000.0,10.10.15.248,47988,1548779731.0,1548779729.0,0.309,0.0,1461.0,udp,10.10.12.1,5204
91,m1,47900000.0,11400000.0,10.10.15.248,47988,1548779733.0,1548779731.0,0.233,0.0,1463.0,udp,10.10.12.1,5204
92,m1,47700000.0,11400000.0,10.10.15.248,47988,1548779735.0,1548779733.0,0.538,3.0,1460.0,udp,10.10.12.1,5204
93,m1,48000000.0,11400000.0,10.10.15.248,47988,1548779737.0,1548779735.0,0.517,0.0,1464.0,udp,10.10.12.1,5204
94,m1,47900000.0,11400000.0,10.10.15.248,47988,1548779739.0,1548779737.0,0.502,1.0,1462.0,udp,10.10.12.1,5204
95,m1,47700000.0,11400000.0,10.10.15.248,47988,1548779741.0,1548779739.0,0.349,6.0,1463.0,udp,10.10.12.1,5204
96,m1,33100000.0,7880000.0,10.10.15.248,47988,1548779743.0,1548779741.0,1.514,344.0,1353.0,udp,10.10.12.1,5204
97,m1,50800000.0,12100000.0,10.10.15.248,47988,1548779745.0,1548779743.0,1.643,0.0,1551.0,udp,10.10.12.1,5204
